overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
playerGuideOverseerSpawnChance: 0.0
rippleSpiderThreshold: 20
proceduralMusicBank: rwtw11
Subregion: Alpha Grove
Room Setting Templates: Outsidelooker, Insidelooker
Room_Attr: WPGA_E01: CicadaB-Like,Deer-Stay,Scavenger-Avoid,Frog-Like,
Room_Attr: WPGA_A05: PinkLizard-Avoid,BlueLizard-Avoid,CyanLizard-Avoid,CicadaB-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ZoopLizard-Avoid,Frog-Like,
Room_Attr: WPGA_A06: PinkLizard-Avoid,BlueLizard-Avoid,CyanLizard-Avoid,CicadaB-Like,Deer-Stay,Scavenger-Avoid,ZoopLizard-Avoid,Frog-Like,
Room_Attr: WPGA_C02: Snail-Like,CicadaB-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,Frog-Like,
Room_Attr: WPGA_C03: CicadaB-Like,Deer-Stay,Scavenger-Avoid,Frog-Like,
Room_Attr: WPGA_A07: PinkLizard-Avoid,BlueLizard-Avoid,CyanLizard-Avoid,CicadaB-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ZoopLizard-Avoid,Frog-Like,
Room_Attr: WPGA_D02: GreenLizard-Forbidden,CicadaB-Like,Scavenger-Avoid,
Room_Attr: WPGA_B03: CicadaB-Like,Scavenger-Avoid,Frog-Like,
Room_Attr: WPGA_A08: PinkLizard-Avoid,BlueLizard-Avoid,CyanLizard-Avoid,CicadaB-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ZoopLizard-Avoid,
Room_Attr: WPGA_A09: Snail-Avoid,CicadaB-Like,Scavenger-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,Frog-Avoid,
Room_Attr: WPGA_A10: CicadaB-Avoid,Scavenger-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ZoopLizard-Avoid,
Room_Attr: WPGA_B04: CicadaB-Like,Scavenger-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_B11: BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_A26: BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,CicadaB-Like,
Room_Attr: WPGA_A30: BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_A27: BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,CicadaB-Avoid,DropBug-Forbidden,
Room_Attr: WPGA_B05: GreenLizard-Avoid,CyanLizard-Like,ZoopLizard-Stay,
Room_Attr: WPGA_A20: PinkLizard-Like,GreenLizard-Like,WhiteLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Like,
Room_Attr: WPGA_A21: GreenLizard-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: WPGA_A01: GreenLizard-Avoid,Snail-Like,
Room_Attr: WPGA_D01: GreenLizard-Forbidden,RedLizard-Avoid,Snail-Like,EggBug-Avoid,
Room_Attr: WPGA_A11: GreenLizard-Forbidden,Snail-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: WPGA_A12: GreenLizard-Forbidden,Snail-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_C04: GreenLizard-Forbidden,BlueLizard-Like,WhiteLizard-Stay,RedLizard-Forbidden,CyanLizard-Like,EggBug-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_B06: PinkLizard-Avoid,GreenLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,Snail-Avoid,EggBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Avoid,
Room_Attr: WPGA_smiley: PinkLizard-Forbidden,GreenLizard-Stay,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,ZoopLizard-Forbidden,
Room_Attr: WPGA_A16: GreenLizard-Avoid,RedLizard-Avoid,Snail-Avoid,EggBug-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,
Room_Attr: WPGA_A14: GreenLizard-Stay,BlueLizard-Like,WhiteLizard-Like,RedLizard-Like,EggBug-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_A17: GreenLizard-Avoid,RedLizard-Avoid,EggBug-Like,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,ZoopLizard-Avoid,
Room_Attr: WPGA_A18: PinkLizard-Like,GreenLizard-Stay,BlueLizard-Like,WhiteLizard-Like,RedLizard-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,DropBug-Like,ZoopLizard-Like,
Room_Attr: WPGA_A19: RedLizard-Avoid,
Room_Attr: WPGA_B07: PinkLizard-Like,GreenLizard-Stay,BlueLizard-Like,WhiteLizard-Like,RedLizard-Like,CyanLizard-Like,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Like,
Room_Attr: WPGA_A22: PinkLizard-Avoid,GreenLizard-Avoid,Snail-Stay,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Avoid,
Room_Attr: WPGA_A25: PinkLizard-Avoid,GreenLizard-Forbidden,BlueLizard-Avoid,WhiteLizard-Avoid,RedLizard-Avoid,ZoopLizard-Avoid,
Room_Attr: WPGA_B10: GreenLizard-Like,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,Snail-Stay,
Room_Attr: WPGA_C05: PinkLizard-Like,GreenLizard-Like,BlueLizard-Like,RedLizard-Like,CyanLizard-Like,EggBug-Like,ZoopLizard-Stay,
Room_Attr: WPGA_B09: GreenLizard-Avoid,Snail-Stay,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Avoid,
Room_Attr: WPGA_A02: SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,
Room_Attr: WPGA_A03: Snail-Like,
Room_Attr: WPGA_B01: Snail-Like,DropBug-Like,
Room_Attr: WPGA_A04: CicadaB-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,ZoopLizard-Avoid,
Room_Attr: WPGA_B02: GreenLizard-Forbidden,BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,Snail-Avoid,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Like,
Room_Attr: WPGA_B08: BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,Snail-Forbidden,CicadaB-Stay,EggBug-Avoid,SmallNeedleWorm-Like,BigNeedleWorm-Like,
Room_Attr: WPGA_A13: PinkLizard-Like,GreenLizard-Avoid,CicadaB-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Forbidden,
Room_Attr: WPGA_C01: GreenLizard-Avoid,WhiteLizard-Like,CicadaB-Like,SmallNeedleWorm-Like,BigNeedleWorm-Like,ZoopLizard-Like,
Room_Attr: WPGA_A28: CicadaB-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,DropBug-Avoid,
Room_Attr: WPGA_A29: CicadaB-Forbidden,
Room_Attr: WPGA_B12: BlueLizard-Like,WhiteLizard-Stay,CyanLizard-Like,CicadaB-Like,SmallNeedleWorm-Stay,BigNeedleWorm-Stay,
