corruptionEffectColor: 0.47,0.29,0.18
corruptionEyeColor: 0.47,0.29,0.18
overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
waterColorOverride: 0.47, 0.75, 0.47
playerGuideOverseerSpawnChance: 0.0
rippleSpiderThreshold: 20
proceduralMusicBank: rwtw5
Subregion: Rusted Wrayks
Room Setting Templates: Outside, Inside, OutsideShip, InsideShip
Room_Attr: WRRA_C01: CicadaB-Like,Centipede-Avoid,RedCentipede-Avoid,SmallCentipede-Avoid,DrillCrab-Forbidden,
Room_Attr: WRRA_A02: Vulture-Forbidden,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_B01: Centipede-Forbidden,RedCentipede-Forbidden,SmallCentipede-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_B02: Vulture-Forbidden,Centipede-Like,RedCentipede-Like,SmallCentipede-Like,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_D01: CicadaB-Like,DrillCrab-Forbidden,
Room_Attr: WRRA_B03: Vulture-Forbidden,Centipede-Like,RedCentipede-Like,SmallCentipede-Like,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_A03: DrillCrab-Forbidden,
Room_Attr: WRRA_B04: CicadaB-Like,DrillCrab-Forbidden,
Room_Attr: WRRA_A06: Vulture-Forbidden,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_D02: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,SmallCentipede-Avoid,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_A07: DrillCrab-Forbidden,
Room_Attr: WRRA_B05: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,SmallCentipede-Avoid,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_A08: DrillCrab-Forbidden,
Room_Attr: WRRA_A09: DrillCrab-Forbidden,
Room_Attr: WRRA_A10: Vulture-Forbidden,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_B06: CicadaB-Like,Centipede-Avoid,RedCentipede-Avoid,SmallCentipede-Avoid,DrillCrab-Forbidden,
Room_Attr: WRRA_B07: DrillCrab-Forbidden,
Room_Attr: WRRA_A20: Vulture-Forbidden,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_B08: Vulture-Forbidden,Centipede-Avoid,RedCentipede-Avoid,SmallCentipede-Avoid,KingVulture-Forbidden,DrillCrab-Forbidden,
Room_Attr: WRRA_C02: Vulture-Avoid,KingVulture-Avoid,DrillCrab-Stay,RotLoach-Stay,
Room_Attr: WRRA_C03: Vulture-Avoid,KingVulture-Avoid,DrillCrab-Stay,RotLoach-Stay,
Room_Attr: WRRA_C04: Vulture-Avoid,KingVulture-Avoid,DrillCrab-Stay,RotLoach-Stay,
Room_Attr: WRRA_D03: Vulture-Avoid,KingVulture-Avoid,DrillCrab-Forbidden,
Room_Attr: WRRA_A21: Vulture-Avoid,CicadaB-Like,Scavenger-Like,KingVulture-Avoid,DrillCrab-Forbidden,ScavengerTemplar-Like,ScavengerDisciple-Like,
Room_Attr: WRRA_C06: Vulture-Avoid,CicadaB-Like,Scavenger-Like,KingVulture-Avoid,DrillCrab-Forbidden,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Forbidden,
Room_Attr: WRRA_B10: DrillCrab-Stay,RotLoach-Stay,
Room_Attr: WRRA_A15: DrillCrab-Stay,RotLoach-Stay,
Room_Attr: WRRA_A16: CicadaB-Avoid,
Room_Attr: WRRA_D04: DrillCrab-Stay,RotLoach-Stay,
Room_Attr: WRRA_A17: CicadaB-Avoid,
Room_Attr: WRRA_A19: DrillCrab-Forbidden,
Room_Attr: WRRA_B11: Vulture-Avoid,KingVulture-Avoid,DrillCrab-Forbidden,
Room_Attr: WRRA_D05: Vulture-Avoid,CicadaB-Like,Scavenger-Like,KingVulture-Avoid,DrillCrab-Forbidden,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Forbidden,
Room_Attr: WRRA_L01: Vulture-Like,CicadaB-Like,Scavenger-Like,KingVulture-Like,DrillCrab-Forbidden,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Forbidden,
Room_Attr: WRRA_A22: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A23: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A24: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A25: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A26: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A27: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A28: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A29: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_B12: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A30: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_B13: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,Peach-Like,
Room_Attr: WRRA_A31: Scavenger-Like,ScavengerTemplar-Like,ScavengerDisciple-Like,
