kelpColor: 0.6,0.3,0.9
corruptionEffectColor: 0.61,0.28,0.89
corruptionEyeColor: 0.61,0.28,0.89
overseersMin: 0
overseersMax: 0
waterColorOverride: 0, 0, 0
playerGuideOverseerSpawnChance: 0
proceduralMusicBank: rwtw4
albinos: true
globalCreatureFlags: LavaImmune, TentacleImmune
Subregion: Violaceous Waterways
Room Setting Templates: Waterways, Pillars
Room_Attr: Default : BigEel-Forbidden,
Room_Attr: WVWA_B01: Centiwing-Forbidden,
Room_Attr: WVWA_B04: Centiwing-Forbidden,
Room_Attr: WVWA_B06: Centiwing-Avoid,
Room_Attr: WVWA_A07: EelLizard-Forbidden,
Room_Attr: WVWA_B07: Centiwing-Forbidden,
Room_Attr: WVWA_B09: EelLizard-Forbidden,
Room_Attr: WVWA_H02: Centiwing-Forbidden,
Room_Attr: WVWA_A11: EelLizard-Forbidden,
Room_Attr: WVWA_F03: BigEel-Like,
